od_id,station,station_line,station_lon,station_lat,facility_source,facility_name,facility_address,facility_lon,facility_lat,straight_line_distance_m,station_node,facility_node,station_snap_distance_m,facility_snap_distance_m,snap_status,route_id,route_type,node_sequence,edge_sequence,node_count,edge_count,route_length_m,steps_count,flood_feature_count_2022,flood_overlap_length_m_2022,flood_feature_count_2023,flood_overlap_length_m_2023,flood_feature_count_2024,flood_overlap_length_m_2024,flood_feature_count_2025,flood_overlap_length_m_2025,flood_feature_count_unique_total,flood_overlap_length_m_total,flood_overlap_ratio,mobility_facility_count_near_route,support_point_count_near_route,existing_safe_route_overlap_or_proximity_count,method,baseline_length_m,alternative_length_m,distance_delta_m,distance_delta_ratio,baseline_flood_overlap_length_m,alternative_flood_overlap_length_m,flood_overlap_reduction_m,flood_overlap_reduction_ratio,baseline_flood_feature_count,alternative_flood_feature_count,historical_flood_trace_avoiding_candidate
od_2838,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  90-8,126.9284,37.6257,968.623,13357342120,3823588661,32.16422242836125,37.440100324683726,PASS,od_2838_k_shortest_alternative_2,k_shortest_alternative_2,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586821, 5279886140, 3823586890, 3819770060, 3823586968, 307924224, 3823587102, 3823587185, 2930525549, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586821], [3823586821, 5279886140], [5279886140, 3823586890], [3823586890, 3819770060], [3819770060, 3823586968], [3823586968, 307924224], [307924224, 3823587102], [3823587102, 3823587185], [3823587185, 2930525549], [2930525549, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",32,31,1160.815,0,2,15.544,0,0.0,0,0.0,3,11.618,5,27.161,0.023399,12,12,20,k_shortest,1145.926,1160.815,14.889,0.012993,23.346,27.161,-3.815,-0.163411,3,5,False
od_2838,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  90-8,126.9284,37.6257,968.623,13357342120,3823588661,32.16422242836125,37.440100324683726,PASS,od_2838_k_shortest_alternative_3,k_shortest_alternative_3,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823586989, 3823587003, 307924223, 307924224, 3823587102, 3823587185, 2930525549, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823586989], [3823586989, 3823587003], [3823587003, 307924223], [307924223, 307924224], [307924224, 3823587102], [3823587102, 3823587185], [3823587185, 2930525549], [2930525549, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",35,34,1167.895,0,2,15.544,0,0.0,0,0.0,3,11.618,5,27.161,0.023257,8,12,20,k_shortest,1145.926,1167.895,21.969,0.019171,23.346,27.161,-3.815,-0.163411,3,5,False
od_2838,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  90-8,126.9284,37.6257,968.623,13357342120,3823588661,32.16422242836125,37.440100324683726,PASS,od_2838_k_shortest_alternative_4,k_shortest_alternative_4,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823587101, 3823587112, 3823587173, 3823587193, 3823587317, 3823587427, 4576617363, 3823587534, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823587101], [3823587101, 3823587112], [3823587112, 3823587173], [3823587173, 3823587193], [3823587193, 3823587317], [3823587317, 3823587427], [3823587427, 4576617363], [4576617363, 3823587534], [3823587534, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",35,34,1172.478,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,12,20,k_shortest,1145.926,1172.478,26.552,0.023171,23.346,0.0,23.346,1.0,3,0,True
od_2825,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  90-8,126.9282,37.6258,965.224,13357342120,3823588661,32.16422242836125,16.64976846622106,PASS,od_2825_k_shortest_alternative_1,k_shortest_alternative_1,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823586989, 3823587003, 307924223, 3823587092, 3823587175, 3823587253, 3823587427, 4576617363, 3823587534, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823586989], [3823586989, 3823587003], [3823587003, 307924223], [307924223, 3823587092], [3823587092, 3823587175], [3823587175, 3823587253], [3823587253, 3823587427], [3823587427, 4576617363], [4576617363, 3823587534], [3823587534, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",36,35,1153.657,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,12,20,k_shortest,1145.926,1153.657,7.731,0.006747,23.346,0.0,23.346,1.0,3,0,True
od_2825,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  90-8,126.9282,37.6258,965.224,13357342120,3823588661,32.16422242836125,16.64976846622106,PASS,od_2825_k_shortest_alternative_2,k_shortest_alternative_2,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586821, 5279886140, 3823586890, 3819770060, 3823586968, 307924224, 3823587102, 3823587185, 2930525549, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586821], [3823586821, 5279886140], [5279886140, 3823586890], [3823586890, 3819770060], [3819770060, 3823586968], [3823586968, 307924224], [307924224, 3823587102], [3823587102, 3823587185], [3823587185, 2930525549], [2930525549, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",32,31,1160.815,0,2,15.544,0,0.0,0,0.0,3,11.618,5,27.161,0.023399,12,12,20,k_shortest,1145.926,1160.815,14.889,0.012993,23.346,27.161,-3.815,-0.163411,3,5,False
od_2825,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  90-8,126.9282,37.6258,965.224,13357342120,3823588661,32.16422242836125,16.64976846622106,PASS,od_2825_k_shortest_alternative_3,k_shortest_alternative_3,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823586989, 3823587003, 307924223, 307924224, 3823587102, 3823587185, 2930525549, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823586989], [3823586989, 3823587003], [3823587003, 307924223], [307924223, 307924224], [307924224, 3823587102], [3823587102, 3823587185], [3823587185, 2930525549], [2930525549, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",35,34,1167.895,0,2,15.544,0,0.0,0,0.0,3,11.618,5,27.161,0.023257,8,12,20,k_shortest,1145.926,1167.895,21.969,0.019171,23.346,27.161,-3.815,-0.163411,3,5,False
od_2825,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  90-8,126.9282,37.6258,965.224,13357342120,3823588661,32.16422242836125,16.64976846622106,PASS,od_2825_k_shortest_alternative_4,k_shortest_alternative_4,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823587101, 3823587112, 3823587173, 3823587193, 3823587317, 3823587427, 4576617363, 3823587534, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823587101], [3823587101, 3823587112], [3823587112, 3823587173], [3823587173, 3823587193], [3823587193, 3823587317], [3823587317, 3823587427], [3823587427, 4576617363], [4576617363, 3823587534], [3823587534, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",35,34,1172.478,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,12,20,k_shortest,1145.926,1172.478,26.552,0.023171,23.346,0.0,23.346,1.0,3,0,True
od_2851,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로41길 6,126.9282,37.6258,965.224,13357342120,3823588661,32.16422242836125,16.64976846622106,PASS,od_2851_k_shortest_alternative_1,k_shortest_alternative_1,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823586989, 3823587003, 307924223, 3823587092, 3823587175, 3823587253, 3823587427, 4576617363, 3823587534, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823586989], [3823586989, 3823587003], [3823587003, 307924223], [307924223, 3823587092], [3823587092, 3823587175], [3823587175, 3823587253], [3823587253, 3823587427], [3823587427, 4576617363], [4576617363, 3823587534], [3823587534, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",36,35,1153.657,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,12,20,k_shortest,1145.926,1153.657,7.731,0.006747,23.346,0.0,23.346,1.0,3,0,True
od_2851,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로41길 6,126.9282,37.6258,965.224,13357342120,3823588661,32.16422242836125,16.64976846622106,PASS,od_2851_k_shortest_alternative_2,k_shortest_alternative_2,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586821, 5279886140, 3823586890, 3819770060, 3823586968, 307924224, 3823587102, 3823587185, 2930525549, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586821], [3823586821, 5279886140], [5279886140, 3823586890], [3823586890, 3819770060], [3819770060, 3823586968], [3823586968, 307924224], [307924224, 3823587102], [3823587102, 3823587185], [3823587185, 2930525549], [2930525549, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",32,31,1160.815,0,2,15.544,0,0.0,0,0.0,3,11.618,5,27.161,0.023399,12,12,20,k_shortest,1145.926,1160.815,14.889,0.012993,23.346,27.161,-3.815,-0.163411,3,5,False
od_2851,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로41길 6,126.9282,37.6258,965.224,13357342120,3823588661,32.16422242836125,16.64976846622106,PASS,od_2851_k_shortest_alternative_3,k_shortest_alternative_3,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823586989, 3823587003, 307924223, 307924224, 3823587102, 3823587185, 2930525549, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823586989], [3823586989, 3823587003], [3823587003, 307924223], [307924223, 307924224], [307924224, 3823587102], [3823587102, 3823587185], [3823587185, 2930525549], [2930525549, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",35,34,1167.895,0,2,15.544,0,0.0,0,0.0,3,11.618,5,27.161,0.023257,8,12,20,k_shortest,1145.926,1167.895,21.969,0.019171,23.346,27.161,-3.815,-0.163411,3,5,False
od_2851,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로41길 6,126.9282,37.6258,965.224,13357342120,3823588661,32.16422242836125,16.64976846622106,PASS,od_2851_k_shortest_alternative_4,k_shortest_alternative_4,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823587101, 3823587112, 3823587173, 3823587193, 3823587317, 3823587427, 4576617363, 3823587534, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823587101], [3823587101, 3823587112], [3823587112, 3823587173], [3823587173, 3823587193], [3823587193, 3823587317], [3823587317, 3823587427], [3823587427, 4576617363], [4576617363, 3823587534], [3823587534, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",35,34,1172.478,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,12,20,k_shortest,1145.926,1172.478,26.552,0.023171,23.346,0.0,23.346,1.0,3,0,True
od_2822,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로 347,126.928,37.6259,962.265,13357342120,3823588661,32.16422242836125,4.520643736324227,PASS,od_2822_k_shortest_alternative_1,k_shortest_alternative_1,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823586989, 3823587003, 307924223, 3823587092, 3823587175, 3823587253, 3823587427, 4576617363, 3823587534, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823586989], [3823586989, 3823587003], [3823587003, 307924223], [307924223, 3823587092], [3823587092, 3823587175], [3823587175, 3823587253], [3823587253, 3823587427], [3823587427, 4576617363], [4576617363, 3823587534], [3823587534, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",36,35,1153.657,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,12,20,k_shortest,1145.926,1153.657,7.731,0.006747,23.346,0.0,23.346,1.0,3,0,True
od_2822,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로 347,126.928,37.6259,962.265,13357342120,3823588661,32.16422242836125,4.520643736324227,PASS,od_2822_k_shortest_alternative_2,k_shortest_alternative_2,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586821, 5279886140, 3823586890, 3819770060, 3823586968, 307924224, 3823587102, 3823587185, 2930525549, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586821], [3823586821, 5279886140], [5279886140, 3823586890], [3823586890, 3819770060], [3819770060, 3823586968], [3823586968, 307924224], [307924224, 3823587102], [3823587102, 3823587185], [3823587185, 2930525549], [2930525549, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",32,31,1160.815,0,2,15.544,0,0.0,0,0.0,3,11.618,5,27.161,0.023399,12,12,20,k_shortest,1145.926,1160.815,14.889,0.012993,23.346,27.161,-3.815,-0.163411,3,5,False
od_2822,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로 347,126.928,37.6259,962.265,13357342120,3823588661,32.16422242836125,4.520643736324227,PASS,od_2822_k_shortest_alternative_3,k_shortest_alternative_3,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823586989, 3823587003, 307924223, 307924224, 3823587102, 3823587185, 2930525549, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823586989], [3823586989, 3823587003], [3823587003, 307924223], [307924223, 307924224], [307924224, 3823587102], [3823587102, 3823587185], [3823587185, 2930525549], [2930525549, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",35,34,1167.895,0,2,15.544,0,0.0,0,0.0,3,11.618,5,27.161,0.023257,8,12,20,k_shortest,1145.926,1167.895,21.969,0.019171,23.346,27.161,-3.815,-0.163411,3,5,False
od_2822,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로 347,126.928,37.6259,962.265,13357342120,3823588661,32.16422242836125,4.520643736324227,PASS,od_2822_k_shortest_alternative_4,k_shortest_alternative_4,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823587101, 3823587112, 3823587173, 3823587193, 3823587317, 3823587427, 4576617363, 3823587534, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823587101], [3823587101, 3823587112], [3823587112, 3823587173], [3823587173, 3823587193], [3823587193, 3823587317], [3823587317, 3823587427], [3823587427, 4576617363], [4576617363, 3823587534], [3823587534, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",35,34,1172.478,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,12,20,k_shortest,1145.926,1172.478,26.552,0.023171,23.346,0.0,23.346,1.0,3,0,True
od_3057,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  73-8,126.928,37.6259,962.265,13357342120,3823588661,32.16422242836125,4.520643736324227,PASS,od_3057_k_shortest_alternative_1,k_shortest_alternative_1,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823586989, 3823587003, 307924223, 3823587092, 3823587175, 3823587253, 3823587427, 4576617363, 3823587534, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823586989], [3823586989, 3823587003], [3823587003, 307924223], [307924223, 3823587092], [3823587092, 3823587175], [3823587175, 3823587253], [3823587253, 3823587427], [3823587427, 4576617363], [4576617363, 3823587534], [3823587534, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",36,35,1153.657,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,12,20,k_shortest,1145.926,1153.657,7.731,0.006747,23.346,0.0,23.346,1.0,3,0,True
