od_id,station,station_line,facility_name,facility_source,facility_address,route_length_m,flood_feature_count_2022,flood_feature_count_2023,flood_feature_count_2024,flood_feature_count_2025,flood_feature_count_unique_total,flood_overlap_length_m_2022,flood_overlap_length_m_2023,flood_overlap_length_m_2024,flood_overlap_length_m_2025,flood_overlap_length_m_total,flood_overlap_ratio,node_sequence,edge_sequence
od_2577,불광,3호선,맨홀,pedestrian_support_point,서울특별시 은평구 통일로 895-2,1497.956,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 11228575654, 11296481755, 3819768907, 3819768989, 11228574116, 11296481757, 11228575667, 11228575756, 2960309741, 11228574120, 11228574122, 11228574126, 11228575767, 11228574068, 11228575779, 3819769749, 11228575652, 3819769766, 11296481771, 3819769883, 2960309144, 11228575797, 5273692779, 11230505659]","[[5930698997, 11228575654], [11228575654, 11296481755], [11296481755, 3819768907], [3819768907, 3819768989], [3819768989, 11228574116], [11228574116, 11296481757], [11296481757, 11228575667], [11228575667, 11228575756], [11228575756, 2960309741], [2960309741, 11228574120], [11228574120, 11228574122], [11228574122, 11228574126], [11228574126, 11228575767], [11228575767, 11228574068], [11228574068, 11228575779], [11228575779, 3819769749], [3819769749, 11228575652], [11228575652, 3819769766], [3819769766, 11296481771], [11296481771, 3819769883], [3819769883, 2960309144], [2960309144, 11228575797], [11228575797, 5273692779], [5273692779, 11230505659]]"
od_2582,불광,3호선,과속방지턱,pedestrian_support_point,서울특별시 은평구 갈현동  459-1,1671.777,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 3819768872, 11296481763, 3819768985, 11296481764, 11228574118, 11228575754, 436862068, 436877345, 353194538, 353194537, 3819769379, 3819769394, 4580507750, 3819769481, 3819769516, 3819769527, 3819769534, 3819769671, 4580262735, 3819769724, 4580507752, 3819769679, 3819769725, 353193681, 3819769745, 3819769759, 3279011096, 13734502260, 10678122483, 353194455, 4580091948, 4580111217, 353194179, 3823586693, 3823586708, 3823586730, 3823586667]","[[5930698997, 3819768872], [3819768872, 11296481763], [11296481763, 3819768985], [3819768985, 11296481764], [11296481764, 11228574118], [11228574118, 11228575754], [11228575754, 436862068], [436862068, 436877345], [436877345, 353194538], [353194538, 353194537], [353194537, 3819769379], [3819769379, 3819769394], [3819769394, 4580507750], [4580507750, 3819769481], [3819769481, 3819769516], [3819769516, 3819769527], [3819769527, 3819769534], [3819769534, 3819769671], [3819769671, 4580262735], [4580262735, 3819769724], [3819769724, 4580507752], [4580507752, 3819769679], [3819769679, 3819769725], [3819769725, 353193681], [353193681, 3819769745], [3819769745, 3819769759], [3819769759, 3279011096], [3279011096, 13734502260], [13734502260, 10678122483], [10678122483, 353194455], [353194455, 4580091948], [4580091948, 4580111217], [4580111217, 353194179], [353194179, 3823586693], [3823586693, 3823586708], [3823586708, 3823586730], [3823586730, 3823586667]]"
od_909,불광,6호선,정보부동산중개인사무소,mobility_facility,서울특별시 은평구 통일로 581-2,1541.955,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 11228574113, 11228575803, 11228574127, 11204976884, 414686130, 11204976883, 11178013536, 7916217192, 11296481752, 11228574102, 11204976908, 11204976861, 11296481748, 436877328, 3811156624, 3811156609, 4185389890, 11296481738, 3811156597, 11204976850, 11296481729, 436877321, 11204976870, 11296481727, 3811155132, 8374239436, 3811678438, 436867704, 3811678114]","[[5930698997, 11228574113], [11228574113, 11228575803], [11228575803, 11228574127], [11228574127, 11204976884], [11204976884, 414686130], [414686130, 11204976883], [11204976883, 11178013536], [11178013536, 7916217192], [7916217192, 11296481752], [11296481752, 11228574102], [11228574102, 11204976908], [11204976908, 11204976861], [11204976861, 11296481748], [11296481748, 436877328], [436877328, 3811156624], [3811156624, 3811156609], [3811156609, 4185389890], [4185389890, 11296481738], [11296481738, 3811156597], [3811156597, 11204976850], [11204976850, 11296481729], [11296481729, 436877321], [436877321, 11204976870], [11204976870, 11296481727], [11296481727, 3811155132], [3811155132, 8374239436], [8374239436, 3811678438], [3811678438, 436867704], [436867704, 3811678114]]"
od_898,불광,6호선,청수공인중개사사무소,mobility_facility,서울특별시 은평구 통일로 581-2,1541.955,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 11228574113, 11228575803, 11228574127, 11204976884, 414686130, 11204976883, 11178013536, 7916217192, 11296481752, 11228574102, 11204976908, 11204976861, 11296481748, 436877328, 3811156624, 3811156609, 4185389890, 11296481738, 3811156597, 11204976850, 11296481729, 436877321, 11204976870, 11296481727, 3811155132, 8374239436, 3811678438, 436867704, 3811678114]","[[5930698997, 11228574113], [11228574113, 11228575803], [11228575803, 11228574127], [11228574127, 11204976884], [11204976884, 414686130], [414686130, 11204976883], [11204976883, 11178013536], [11178013536, 7916217192], [7916217192, 11296481752], [11296481752, 11228574102], [11228574102, 11204976908], [11204976908, 11204976861], [11204976861, 11296481748], [11296481748, 436877328], [436877328, 3811156624], [3811156624, 3811156609], [3811156609, 4185389890], [4185389890, 11296481738], [11296481738, 3811156597], [3811156597, 11204976850], [11204976850, 11296481729], [11296481729, 436877321], [436877321, 11204976870], [11204976870, 11296481727], [11296481727, 3811155132], [3811155132, 8374239436], [8374239436, 3811678438], [3811678438, 436867704], [436867704, 3811678114]]"
od_2313,불광,3호선,한라똥돼지,mobility_facility,서울특별시 은평구 역말로 34,1643.153,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 5281048352, 11229115806, 12364765013, 12364765021, 12364765017, 436873827, 436873826, 3811140039, 3819768175, 3819768163, 3811140014, 436873822, 3811139987, 3811139972, 3819768079, 3819768104, 3819768094, 4580515491, 10789220094, 4580515490, 10789220121, 4583516176, 3819768030, 3819768037, 4583516177, 3819768049, 3819768062, 10678122571, 3819768076, 3819768053, 436862040, 3819768019, 3819768004, 2309932467, 3819767986, 3819767985, 3819767984, 10789220084, 3819767982, 436862033, 3819767980, 10789210640, 414683404, 10789210641, 4584756059, 3820984281, 3822944309]","[[5930698997, 5281048352], [5281048352, 11229115806], [11229115806, 12364765013], [12364765013, 12364765021], [12364765021, 12364765017], [12364765017, 436873827], [436873827, 436873826], [436873826, 3811140039], [3811140039, 3819768175], [3819768175, 3819768163], [3819768163, 3811140014], [3811140014, 436873822], [436873822, 3811139987], [3811139987, 3811139972], [3811139972, 3819768079], [3819768079, 3819768104], [3819768104, 3819768094], [3819768094, 4580515491], [4580515491, 10789220094], [10789220094, 4580515490], [4580515490, 10789220121], [10789220121, 4583516176], [4583516176, 3819768030], [3819768030, 3819768037], [3819768037, 4583516177], [4583516177, 3819768049], [3819768049, 3819768062], [3819768062, 10678122571], [10678122571, 3819768076], [3819768076, 3819768053], [3819768053, 436862040], [436862040, 3819768019], [3819768019, 3819768004], [3819768004, 2309932467], [2309932467, 3819767986], [3819767986, 3819767985], [3819767985, 3819767984], [3819767984, 10789220084], [10789220084, 3819767982], [3819767982, 436862033], [436862033, 3819767980], [3819767980, 10789210640], [10789210640, 414683404], [414683404, 10789210641], [10789210641, 4584756059], [4584756059, 3820984281], [3820984281, 3822944309]]"
od_2244,불광,3호선,임마누엘역촌공동체,mobility_facility,서울특별시 은평구 진흥로1길 13-19,1614.986,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 5281048352, 11229115806, 12364765013, 12364765021, 12364765017, 436873827, 436873826, 3811140039, 3819768175, 3819768163, 3811140014, 436873822, 3811139987, 3811139972, 3819768079, 3811139948, 436854170, 10789220053, 10789220052, 10678122631, 10789220057, 10789220060, 10789220061, 10789220062, 10789220097, 10789220063, 10789220066, 10789220065, 10789220067, 3811554630, 3811554629, 3811554628, 3819767589, 3811554627, 3811554626, 3811554625, 4583516172, 3819767586, 3819767585, 3811554622, 3811554621, 3811554620]","[[5930698997, 5281048352], [5281048352, 11229115806], [11229115806, 12364765013], [12364765013, 12364765021], [12364765021, 12364765017], [12364765017, 436873827], [436873827, 436873826], [436873826, 3811140039], [3811140039, 3819768175], [3819768175, 3819768163], [3819768163, 3811140014], [3811140014, 436873822], [436873822, 3811139987], [3811139987, 3811139972], [3811139972, 3819768079], [3819768079, 3811139948], [3811139948, 436854170], [436854170, 10789220053], [10789220053, 10789220052], [10789220052, 10678122631], [10678122631, 10789220057], [10789220057, 10789220060], [10789220060, 10789220061], [10789220061, 10789220062], [10789220062, 10789220097], [10789220097, 10789220063], [10789220063, 10789220066], [10789220066, 10789220065], [10789220065, 10789220067], [10789220067, 3811554630], [3811554630, 3811554629], [3811554629, 3811554628], [3811554628, 3819767589], [3819767589, 3811554627], [3811554627, 3811554626], [3811554626, 3811554625], [3811554625, 4583516172], [4583516172, 3819767586], [3819767586, 3819767585], [3819767585, 3811554622], [3811554622, 3811554621], [3811554621, 3811554620]]"
od_1073,불광,6호선,갈현동미미아파트,pedestrian_support_point,서울특별시 은평구 갈현로 238,1764.154,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 3819768872, 11296481763, 3819768985, 11296481764, 11228574118, 11228575754, 436862068, 436877345, 353194538, 353194537, 3819769379, 3819769394, 4580507750, 3819769481, 3819769516, 3819769527, 3819769534, 3819769671, 4580262735, 3819769724, 4580507752, 3819769679, 3819769725, 353193681, 3819769745, 3819769759, 3279011096, 13734502260, 10678122483, 353194455, 4580091948, 4580111217, 353194179, 3823586693, 3823586708, 3823586730, 3823586667, 3823586648, 3823586665]","[[5930698997, 3819768872], [3819768872, 11296481763], [11296481763, 3819768985], [3819768985, 11296481764], [11296481764, 11228574118], [11228574118, 11228575754], [11228575754, 436862068], [436862068, 436877345], [436877345, 353194538], [353194538, 353194537], [353194537, 3819769379], [3819769379, 3819769394], [3819769394, 4580507750], [4580507750, 3819769481], [3819769481, 3819769516], [3819769516, 3819769527], [3819769527, 3819769534], [3819769534, 3819769671], [3819769671, 4580262735], [4580262735, 3819769724], [3819769724, 4580507752], [4580507752, 3819769679], [3819769679, 3819769725], [3819769725, 353193681], [353193681, 3819769745], [3819769745, 3819769759], [3819769759, 3279011096], [3279011096, 13734502260], [13734502260, 10678122483], [10678122483, 353194455], [353194455, 4580091948], [4580091948, 4580111217], [4580111217, 353194179], [353194179, 3823586693], [3823586693, 3823586708], [3823586708, 3823586730], [3823586730, 3823586667], [3823586667, 3823586648], [3823586648, 3823586665]]"
od_2380,불광,3호선,빗물받이,pedestrian_support_point,서울특별시 은평구 불광로 179-6,1671.433,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 11228575654, 457819071, 5281045186, 5281045188, 5281045187, 5281045189, 3279011082, 436849310, 353195249, 3819769163, 4580205446, 3279011087, 3819769307, 5281044435, 5281044436, 5281044434, 436849314, 445329900, 3824954063, 3819769661, 3824954088, 307924229, 436849320, 3824954278, 5281044431, 3819769960, 3824954348, 3279011105, 3824954514, 5281445624, 3823587215, 3823587293, 436862401, 436849329, 3823587658, 3823587739, 3823587767, 3823587783, 3823587796, 3823587831, 3823587844, 3823587889]","[[5930698997, 11228575654], [11228575654, 457819071], [457819071, 5281045186], [5281045186, 5281045188], [5281045188, 5281045187], [5281045187, 5281045189], [5281045189, 3279011082], [3279011082, 436849310], [436849310, 353195249], [353195249, 3819769163], [3819769163, 4580205446], [4580205446, 3279011087], [3279011087, 3819769307], [3819769307, 5281044435], [5281044435, 5281044436], [5281044436, 5281044434], [5281044434, 436849314], [436849314, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3824954088], [3824954088, 307924229], [307924229, 436849320], [436849320, 3824954278], [3824954278, 5281044431], [5281044431, 3819769960], [3819769960, 3824954348], [3824954348, 3279011105], [3279011105, 3824954514], [3824954514, 5281445624], [5281445624, 3823587215], [3823587215, 3823587293], [3823587293, 436862401], [436862401, 436849329], [436849329, 3823587658], [3823587658, 3823587739], [3823587739, 3823587767], [3823587767, 3823587783], [3823587783, 3823587796], [3823587796, 3823587831], [3823587831, 3823587844], [3823587844, 3823587889]]"
od_1020,불광,6호선,장애인화장실,pedestrian_support_point,서울특별시 은평구 구산동  199-19,1954.803,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 5281048352, 11229115806, 12364765013, 12364765021, 12364765017, 436873827, 3819768516, 3819768484, 3819768233, 3819768186, 3819768174, 3819768183, 3819768173, 10789220092, 3004846059, 3819768169, 4580515492, 10789220119, 4086709496, 10789220046, 13734364679, 3819768508, 3819768570, 10789220089, 10789220099, 3819768602, 10789219911, 10678122554, 10789220088, 10678122541, 10678122540, 10678176121, 10789210627, 10678176120, 10678122536, 10789210623, 10789210622, 10789210621, 3820983709, 3820983708, 3820983722, 10789210704, 3820983699, 3820983735]","[[5930698997, 5281048352], [5281048352, 11229115806], [11229115806, 12364765013], [12364765013, 12364765021], [12364765021, 12364765017], [12364765017, 436873827], [436873827, 3819768516], [3819768516, 3819768484], [3819768484, 3819768233], [3819768233, 3819768186], [3819768186, 3819768174], [3819768174, 3819768183], [3819768183, 3819768173], [3819768173, 10789220092], [10789220092, 3004846059], [3004846059, 3819768169], [3819768169, 4580515492], [4580515492, 10789220119], [10789220119, 4086709496], [4086709496, 10789220046], [10789220046, 13734364679], [13734364679, 3819768508], [3819768508, 3819768570], [3819768570, 10789220089], [10789220089, 10789220099], [10789220099, 3819768602], [3819768602, 10789219911], [10789219911, 10678122554], [10678122554, 10789220088], [10789220088, 10678122541], [10678122541, 10678122540], [10678122540, 10678176121], [10678176121, 10789210627], [10789210627, 10678176120], [10678176120, 10678122536], [10678122536, 10789210623], [10789210623, 10789210622], [10789210622, 10789210621], [10789210621, 3820983709], [3820983709, 3820983708], [3820983708, 3820983722], [3820983722, 10789210704], [10789210704, 3820983699], [3820983699, 3820983735]]"
od_854,불광,6호선,임마누엘역촌공동체,mobility_facility,서울특별시 은평구 진흥로1길 13-19,1614.986,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 5281048352, 11229115806, 12364765013, 12364765021, 12364765017, 436873827, 436873826, 3811140039, 3819768175, 3819768163, 3811140014, 436873822, 3811139987, 3811139972, 3819768079, 3811139948, 436854170, 10789220053, 10789220052, 10678122631, 10789220057, 10789220060, 10789220061, 10789220062, 10789220097, 10789220063, 10789220066, 10789220065, 10789220067, 3811554630, 3811554629, 3811554628, 3819767589, 3811554627, 3811554626, 3811554625, 4583516172, 3819767586, 3819767585, 3811554622, 3811554621, 3811554620]","[[5930698997, 5281048352], [5281048352, 11229115806], [11229115806, 12364765013], [12364765013, 12364765021], [12364765021, 12364765017], [12364765017, 436873827], [436873827, 436873826], [436873826, 3811140039], [3811140039, 3819768175], [3819768175, 3819768163], [3819768163, 3811140014], [3811140014, 436873822], [436873822, 3811139987], [3811139987, 3811139972], [3811139972, 3819768079], [3819768079, 3811139948], [3811139948, 436854170], [436854170, 10789220053], [10789220053, 10789220052], [10789220052, 10678122631], [10678122631, 10789220057], [10789220057, 10789220060], [10789220060, 10789220061], [10789220061, 10789220062], [10789220062, 10789220097], [10789220097, 10789220063], [10789220063, 10789220066], [10789220066, 10789220065], [10789220065, 10789220067], [10789220067, 3811554630], [3811554630, 3811554629], [3811554629, 3811554628], [3811554628, 3819767589], [3819767589, 3811554627], [3811554627, 3811554626], [3811554626, 3811554625], [3811554625, 4583516172], [4583516172, 3819767586], [3819767586, 3819767585], [3819767585, 3811554622], [3811554622, 3811554621], [3811554621, 3811554620]]"
od_2384,불광,3호선,빗물받이,pedestrian_support_point,서울특별시 은평구 연서로27길 26,1564.952,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 3819768872, 11296481763, 3819768985, 11296481764, 11228574118, 11228575754, 436862068, 436877345, 353194538, 353194537, 3819769379, 3819769394, 4580507750, 3819769481, 3819769516, 3819769527, 3819769534, 3819769671, 4580262735, 3819769724, 4580507752, 3819769679, 3819769725, 353193681, 3819769745, 3819769759, 3279011096, 13734502260, 10678122483, 353194455, 4580091948, 4580111217, 353194179, 3823586693, 3823586708]","[[5930698997, 3819768872], [3819768872, 11296481763], [11296481763, 3819768985], [3819768985, 11296481764], [11296481764, 11228574118], [11228574118, 11228575754], [11228575754, 436862068], [436862068, 436877345], [436877345, 353194538], [353194538, 353194537], [353194537, 3819769379], [3819769379, 3819769394], [3819769394, 4580507750], [4580507750, 3819769481], [3819769481, 3819769516], [3819769516, 3819769527], [3819769527, 3819769534], [3819769534, 3819769671], [3819769671, 4580262735], [4580262735, 3819769724], [3819769724, 4580507752], [4580507752, 3819769679], [3819769679, 3819769725], [3819769725, 353193681], [353193681, 3819769745], [3819769745, 3819769759], [3819769759, 3279011096], [3279011096, 13734502260], [13734502260, 10678122483], [10678122483, 353194455], [353194455, 4580091948], [4580091948, 4580111217], [4580111217, 353194179], [353194179, 3823586693], [3823586693, 3823586708]]"
od_1005,불광,6호선,빗물받이,pedestrian_support_point,서울특별시 은평구 불광로 179-6,1713.297,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 11228575654, 457819071, 5281045186, 5281045188, 5281045187, 5281045189, 3279011082, 436849310, 353195249, 3819769163, 4580205446, 3279011087, 3819769307, 5281044435, 5281044436, 5281044434, 436849314, 445329900, 3824954063, 3819769661, 3824954088, 307924229, 436849320, 3824954278, 5281044431, 3819769960, 3824954348, 3279011105, 3824954514, 5281445624, 3823587215, 3823587293, 436862401, 436849329, 3823587658, 3823587739, 3823587767, 3823587783, 3823587796, 3823587831, 3823587844, 3823587889, 3823587941, 3823588067]","[[5930698997, 11228575654], [11228575654, 457819071], [457819071, 5281045186], [5281045186, 5281045188], [5281045188, 5281045187], [5281045187, 5281045189], [5281045189, 3279011082], [3279011082, 436849310], [436849310, 353195249], [353195249, 3819769163], [3819769163, 4580205446], [4580205446, 3279011087], [3279011087, 3819769307], [3819769307, 5281044435], [5281044435, 5281044436], [5281044436, 5281044434], [5281044434, 436849314], [436849314, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3824954088], [3824954088, 307924229], [307924229, 436849320], [436849320, 3824954278], [3824954278, 5281044431], [5281044431, 3819769960], [3819769960, 3824954348], [3824954348, 3279011105], [3279011105, 3824954514], [3824954514, 5281445624], [5281445624, 3823587215], [3823587215, 3823587293], [3823587293, 436862401], [436862401, 436849329], [436849329, 3823587658], [3823587658, 3823587739], [3823587739, 3823587767], [3823587767, 3823587783], [3823587783, 3823587796], [3823587796, 3823587831], [3823587831, 3823587844], [3823587844, 3823587889], [3823587889, 3823587941], [3823587941, 3823588067]]"
od_2251,불광,3호선,용두동쭈꾸미,mobility_facility,서울특별시 은평구 역말로 34-1,1629.987,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 5281048352, 11229115806, 12364765013, 12364765021, 12364765017, 436873827, 436873826, 3811140039, 3819768175, 3819768163, 3811140014, 436873822, 3811139987, 3811139972, 3819768079, 3819768104, 3819768094, 4580515491, 10789220094, 4580515490, 10789220121, 4583516176, 3819768030, 3819768037, 4583516177, 3819768049, 3819768062, 10678122571, 3819768076, 3819768053, 436862040, 3819768019, 3819768004, 2309932467, 3819767986, 3819767985, 3819767984, 10789220084, 3819767982, 436862033, 3819767980, 10789210640, 414683404, 10789210641, 4584756059, 3820984281]","[[5930698997, 5281048352], [5281048352, 11229115806], [11229115806, 12364765013], [12364765013, 12364765021], [12364765021, 12364765017], [12364765017, 436873827], [436873827, 436873826], [436873826, 3811140039], [3811140039, 3819768175], [3819768175, 3819768163], [3819768163, 3811140014], [3811140014, 436873822], [436873822, 3811139987], [3811139987, 3811139972], [3811139972, 3819768079], [3819768079, 3819768104], [3819768104, 3819768094], [3819768094, 4580515491], [4580515491, 10789220094], [10789220094, 4580515490], [4580515490, 10789220121], [10789220121, 4583516176], [4583516176, 3819768030], [3819768030, 3819768037], [3819768037, 4583516177], [4583516177, 3819768049], [3819768049, 3819768062], [3819768062, 10678122571], [10678122571, 3819768076], [3819768076, 3819768053], [3819768053, 436862040], [436862040, 3819768019], [3819768019, 3819768004], [3819768004, 2309932467], [2309932467, 3819767986], [3819767986, 3819767985], [3819767985, 3819767984], [3819767984, 10789220084], [10789220084, 3819767982], [3819767982, 436862033], [436862033, 3819767980], [3819767980, 10789210640], [10789210640, 414683404], [414683404, 10789210641], [10789210641, 4584756059], [4584756059, 3820984281]]"
od_863,불광,6호선,지호한방삼계탕,mobility_facility,서울특별시 은평구 연서로 47,1764.66,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 5281048352, 11229115806, 12364765013, 12364765021, 12364765017, 436873827, 436873826, 3811140039, 3819768175, 3819768163, 3811140014, 436873822, 3811139987, 3811139972, 3819768079, 3819768104, 3819768094, 4580515491, 10789220094, 4580515490, 10789220121, 4583516176, 3819767996, 4583516174, 3819767927, 3819767888, 3819767870, 4583516173, 3819767848, 3819767847, 4583513367, 3819767843, 3819767841, 3819767839, 3819767838, 3819767835, 10789210652, 10789210648, 3819767820, 10789210649, 3822944372, 3822944360, 3822944276, 3822944277]","[[5930698997, 5281048352], [5281048352, 11229115806], [11229115806, 12364765013], [12364765013, 12364765021], [12364765021, 12364765017], [12364765017, 436873827], [436873827, 436873826], [436873826, 3811140039], [3811140039, 3819768175], [3819768175, 3819768163], [3819768163, 3811140014], [3811140014, 436873822], [436873822, 3811139987], [3811139987, 3811139972], [3811139972, 3819768079], [3819768079, 3819768104], [3819768104, 3819768094], [3819768094, 4580515491], [4580515491, 10789220094], [10789220094, 4580515490], [4580515490, 10789220121], [10789220121, 4583516176], [4583516176, 3819767996], [3819767996, 4583516174], [4583516174, 3819767927], [3819767927, 3819767888], [3819767888, 3819767870], [3819767870, 4583516173], [4583516173, 3819767848], [3819767848, 3819767847], [3819767847, 4583513367], [4583513367, 3819767843], [3819767843, 3819767841], [3819767841, 3819767839], [3819767839, 3819767838], [3819767838, 3819767835], [3819767835, 10789210652], [10789210652, 10789210648], [10789210648, 3819767820], [3819767820, 10789210649], [10789210649, 3822944372], [3822944372, 3822944360], [3822944360, 3822944276], [3822944276, 3822944277]]"
od_1001,불광,6호선,빗물받이,pedestrian_support_point,서울특별시 은평구 역촌동  45-42,1643.153,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 5281048352, 11229115806, 12364765013, 12364765021, 12364765017, 436873827, 436873826, 3811140039, 3819768175, 3819768163, 3811140014, 436873822, 3811139987, 3811139972, 3819768079, 3819768104, 3819768094, 4580515491, 10789220094, 4580515490, 10789220121, 4583516176, 3819768030, 3819768037, 4583516177, 3819768049, 3819768062, 10678122571, 3819768076, 3819768053, 436862040, 3819768019, 3819768004, 2309932467, 3819767986, 3819767985, 3819767984, 10789220084, 3819767982, 436862033, 3819767980, 10789210640, 414683404, 10789210641, 4584756059, 3820984281, 3822944309]","[[5930698997, 5281048352], [5281048352, 11229115806], [11229115806, 12364765013], [12364765013, 12364765021], [12364765021, 12364765017], [12364765017, 436873827], [436873827, 436873826], [436873826, 3811140039], [3811140039, 3819768175], [3819768175, 3819768163], [3819768163, 3811140014], [3811140014, 436873822], [436873822, 3811139987], [3811139987, 3811139972], [3811139972, 3819768079], [3819768079, 3819768104], [3819768104, 3819768094], [3819768094, 4580515491], [4580515491, 10789220094], [10789220094, 4580515490], [4580515490, 10789220121], [10789220121, 4583516176], [4583516176, 3819768030], [3819768030, 3819768037], [3819768037, 4583516177], [4583516177, 3819768049], [3819768049, 3819768062], [3819768062, 10678122571], [10678122571, 3819768076], [3819768076, 3819768053], [3819768053, 436862040], [436862040, 3819768019], [3819768019, 3819768004], [3819768004, 2309932467], [2309932467, 3819767986], [3819767986, 3819767985], [3819767985, 3819767984], [3819767984, 10789220084], [10789220084, 3819767982], [3819767982, 436862033], [436862033, 3819767980], [3819767980, 10789210640], [10789210640, 414683404], [414683404, 10789210641], [10789210641, 4584756059], [4584756059, 3820984281], [3820984281, 3822944309]]"
od_2293,불광,3호선,갈현알곡공인중개사사무소,mobility_facility,서울특별시 은평구 갈현로 222,1749.239,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 3819768872, 11296481763, 3819768985, 11296481764, 11228574118, 11228575754, 436862068, 436877345, 353194538, 353194537, 3819769379, 3819769394, 4580507750, 3819769481, 3819769516, 3819769527, 3819769534, 3819769671, 4580262735, 3819769665, 3819769503, 3819769473, 3819769465, 3819769447, 3819769427, 4580507754, 4580509821, 11663495609, 449448788, 13734502241, 13734502242, 10678122482, 4580111222, 449448820, 3823586510, 4580111215, 3823586563, 3823586591, 3823586540, 4580095318, 3823586485, 3823586484, 3823586486]","[[5930698997, 3819768872], [3819768872, 11296481763], [11296481763, 3819768985], [3819768985, 11296481764], [11296481764, 11228574118], [11228574118, 11228575754], [11228575754, 436862068], [436862068, 436877345], [436877345, 353194538], [353194538, 353194537], [353194537, 3819769379], [3819769379, 3819769394], [3819769394, 4580507750], [4580507750, 3819769481], [3819769481, 3819769516], [3819769516, 3819769527], [3819769527, 3819769534], [3819769534, 3819769671], [3819769671, 4580262735], [4580262735, 3819769665], [3819769665, 3819769503], [3819769503, 3819769473], [3819769473, 3819769465], [3819769465, 3819769447], [3819769447, 3819769427], [3819769427, 4580507754], [4580507754, 4580509821], [4580509821, 11663495609], [11663495609, 449448788], [449448788, 13734502241], [13734502241, 13734502242], [13734502242, 10678122482], [10678122482, 4580111222], [4580111222, 449448820], [449448820, 3823586510], [3823586510, 4580111215], [4580111215, 3823586563], [3823586563, 3823586591], [3823586591, 3823586540], [3823586540, 4580095318], [4580095318, 3823586485], [3823586485, 3823586484], [3823586484, 3823586486]]"
od_2464,불광,3호선,청구성심병원,pedestrian_support_point,서울특별시 은평구 통일로83길 6,1492.084,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5930698997, 3819768872, 11296481763, 3819768985, 11296481764, 11228574118, 11228575754, 436862068, 436877345, 11228575760, 3819769458, 3819769528, 11296481769, 11228574067, 3278844686, 449449459, 11228574065, 11228574064, 11230505689, 11178032838, 11296481777, 11228575799, 436393814, 353194436]","[[5930698997, 3819768872], [3819768872, 11296481763], [11296481763, 3819768985], [3819768985, 11296481764], [11296481764, 11228574118], [11228574118, 11228575754], [11228575754, 436862068], [436862068, 436877345], [436877345, 11228575760], [11228575760, 3819769458], [3819769458, 3819769528], [3819769528, 11296481769], [11296481769, 11228574067], [11228574067, 3278844686], [3278844686, 449449459], [449449459, 11228574065], [11228574065, 11228574064], [11228574064, 11230505689], [11230505689, 11178032838], [11178032838, 11296481777], [11296481777, 11228575799], [11228575799, 436393814], [436393814, 353194436]]"
